language,count
perl,21246
raku,12579
python,4806
c,1462
clojure,1370
rust,1255
lua,960
haskell,953
ruby,942
go,825
t,736
cpp,720
javascript,608
kotlin,545
bqn,515
postscript,504
java,433
postgresql,355
tcl,346
scala,342
modula-3,326
julia,325
apl,283
prolog,270
bash,240
node,225
awk,223
elixir,221
crystal,209
nim,199
pascal,173
plperl,125
r,122
uiua,113
plpgsql,112
pljava,112
basic,107
typst,101
forth,100
d,100
excel-vba,98
j,96
bc,91
erlang,74
scheme,67
ocaml,59
common-lisp,56
js,56
php,52
oberon,50
dart,48
k,45
befunge-93,41
swift,41
gleam,40
ada,37
fortran,33
fennel,32
sql,27
sed,25
elm,25
brainfuck,25
cxx,23
zig,23
cl,22
part1,22
lisp,22
test,21
cobol,21
fsharp,21
ring,20
csh,19
racket,19
data,18
m4,18
rexx,17
gnat,17
part2,16
kap,15
picolisp,15
mmix,14
powershell,13
tests,12
opt1-nofl,12
opt2-separaterunx,12
nelua,12
hy,11
csharp,11
f#,11
golang,10
odin,10
typescript,10
smalltalk,9
sudoku-data,9
wasi,8
ploki,8
c3,8
cesil,7
c++,7
opt3-rewrite,6
commonlisp,6
sml,6
perl-json,6
coconut,5
python3,5
v,5
emacs-lisp,5
nu,4
test-data,4
groovy,4
misc,4
modula3,4
factor,4
fish,3
retro,3
nuweb,3
cuda,3
webassembly,3
logo,3
chatgpt,3
roc,3
octave,3
gembase,3
janet,3
graphviz,2
myrddin,2
haxe,2
extras,2
maxima,2
hare,2
html,2
miranda,2
lib,2
vlang,2
210,2
wolfram,2
gp,2
dc,2
nix,2
idris,2
yabasic,2
ook,1
logo-design,1
mumps,1
chef,1
test_data,1
blog,1
visual-basic,1
shell,1
vba,1
io,1
bourne-shell,1
tinyapl,1
ksh,1
xslt,1
